Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	de théatre, Mephistopheles, may be seen now in London, and I should recommend all who wish to understand	2	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Bulgaria	GPE	sake of something to say I made some remark about Bulgaria—not that I really knew anything about it,	16	Bulgaria	Locality	Country							Bulgaria	BGR	25.23641224000005	42.75500839100005	100	
Russia	GPE	“Dear me, no! but Russia and the Czar, and tyranny and despotism, and	18	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
England	GPE	first sight.  He had lived five years in England, and nothing pleased him more than to be taken	27	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Russia	GPE	Apparently he had forgotten all about Russia and Bulgaria, for he looked radiantly happy.  	29	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Bulgaria	GPE	Apparently he had forgotten all about Russia and Bulgaria, for he looked radiantly happy.  Clearly his	29	Bulgaria	Locality	Country							Bulgaria	BGR	25.23641224000005	42.75500839100005	100	
æsthetic	GPE	; the pretty room with its Chippendale furniture, its æsthetic hangings, its bowls of roses; and the sound	39	Aesthetic, Birmingham Road, Wylde Green, Sutton Coldfield, West Midlands, England, B72 1, GBR	POI	Fitness Center	Birmingham Road	Birmingham		Sutton Coldfield	West Midlands	England	United Kingdom	GBR	-1.826629999999966	52.53729000000004	100	
London	GPE	great a contrast this life was to his life in London; and he was saying to himself that he had	42	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Russia	GPE	with reflections on unhappy marriages; took her off viâ Russia and Nihilism in the State prayers, and by the	50	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Sweden	GPE	replied.  “But Uncle Henry is still in Sweden and will not be in town for another week.	113	Sweden	Locality	Country							Kingdom of Sweden	SWE	17.260487956000077	64.71258554700006	100	
